conversation_id_str,created_at,favorite_count,full_text,id_str,in_reply_to_screen_name,lang,quote_count,reply_count,retweet_count,tweet_url,user_id_str,label,product,clean_text,no_slang,no_stopwords,stemmed_text
1.9443537810318136e+18,2025-07-13,0,@cipapeanut fw: mineral botanica/senka/cosrx yang merah mois: skin game yang watery,1.9443605151001933e+18,cipapeanut,in,0,1,0,https://x.com/undefined/status/1944360515100193269,1.7903106777328886e+18,0.0,mineral botanica, fw mineral botanicasenkacosrx yang merah mois skin game yang watery,fw mineral botanicasenkacosrx yang merah mois skin game yang watery,fw mineral botanicasenkacosrx merah mois skin game watery,fw mineral botanicasenkacosrx merah mois skin game watery
1.943887433554449e+18,2025-07-13,0,@womanfeeds_id aku pake mineral botanica yg pink nderr murce dan bagusss,1.9443327747832425e+18,womanfeeds_id,in,0,0,0,https://x.com/undefined/status/1944332774783242569,1.3481168689601208e+18,1.0,mineral botanica, aku pake mineral botanica yg pink nderr murce dan bagusss,aku pakai mineral botanica yang pink nderr murce dan bagus,pakai mineral botanica pink nderr murce bagus,pakai mineral botanica pink nderr murce bagus
1.94362249376945e+18,2025-07-13,0,@cagvity Mineral botanica pinkkk bagus MURAHH ,1.9442712114389484e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1944271211438948372,1.5866039256873124e+18,1.0,mineral botanica, Mineral botanica pinkkk bagus MURAHH ,mineral botanica pinkkk bagus murahh,mineral botanica pinkkk bagus murahh,mineral botanica pinkkk bagus murahh
1.94362249376945e+18,2025-07-13,0,@cagvity otw 4 tahun pake mineral botanica yg pink bagus bangettt buat ak yg suka jerawatan,1.9442688466403e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1944268846640300056,1.6069294698346906e+18,1.0,mineral botanica, otw  tahun pake mineral botanica yg pink bagus bangettt buat ak yg suka jerawatan,otw tahun pakai mineral botanica yang pink bagus banget buat aku yang suka jerawatan,otw pakai mineral botanica pink bagus banget suka jerawatan,otw pakai mineral botanica pink bagus banget suka jerawat
1.943949609128408e+18,2025-07-13,0,@ngakak_premium mineral botanica pink ga bikin kering bersihh tapi gabikin keset murah gampang dicari efeknya di aku udh mudarin bekas jerawat dan sembuhin jerawat soalnya ada kandungan salicylic acidnya lokal brand,1.9442577924473285e+18,ngakak_premium,in,0,2,0,https://x.com/undefined/status/1944257792447328604,1.4960864863907635e+18,1.0,mineral botanica, mineral botanica pink ga bikin kering bersihh tapi gabikin keset murah gampang dicari efeknya di aku udh mudarin bekas jerawat dan sembuhin jerawat soalnya ada kandungan salicylic acidnya lokal brand,mineral botanica pink enggak bikin kering bersihh tapi gabikin keset murah gampang dicari efeknya di aku sudah mudarin bekas jerawat dan menyembuhkan jerawat soalnya ada kandungan salicylic acidnya lokal brand,mineral botanica pink bikin kering bersihh gabikin keset murah gampang dicari efeknya mudarin bekas jerawat menyembuhkan jerawat kandungan salicylic acidnya lokal brand,mineral botanica pink bikin kering bersihh gabikin keset murah gampang cari efek mudarin bekas jerawat sembuh jerawat kandung salicylic acidnya lokal brand
1.94362249376945e+18,2025-07-12,0,@cagvity ada yg sama ga pake mineral botanica ??,1.9440895965113636e+18,cagvity,in,0,1,0,https://x.com/undefined/status/1944089596511363373,1.454449395953406e+18,0.0,mineral botanica, ada yg sama ga pake mineral botanica ,ada yang sama enggak pakai mineral botanica,pakai mineral botanica,pakai mineral botanica
1.943887433554449e+18,2025-07-12,1,@womanfeeds_id saatnya aku meracuni org2 buat pakai mineral botanica pink. trust me sampe aku wondering kek knp aku ga coba dari dulu,1.9440688787176e+18,womanfeeds_id,in,0,2,0,https://x.com/undefined/status/1944068878717600000,1.4960864863907635e+18,1.0,mineral botanica, saatnya aku meracuni org buat pakai mineral botanica pink trust me sampe aku wondering kek knp aku ga coba dari dulu,saatnya aku meracuni orang buat pakai mineral botanica pink trust me sampai aku wondering kayak kenapa aku enggak coba dari dulu,meracuni orang pakai mineral botanica pink trust wondering kayak coba,racun orang pakai mineral botanica pink trust wondering kayak coba
1.94362249376945e+18,2025-07-12,2,@cagvity MINERAL BOTANICA PINKK OMGG THE REAL HIDDEN GEM! awalnya cocok pake cosrx tapi mihil akhirnya setelah berbagai percobaan klopnya dia dia. udh mana murah sering promo gampang dicari dan produk lokal. mukaku skrg bersih dan bekas jerawatku memudar,1.9440684531509947e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1944068453150994612,1.4960864863907635e+18,1.0,mineral botanica, MINERAL BOTANICA PINKK OMGG THE REAL HIDDEN GEM awalnya cocok pake cosrx tapi mihil akhirnya setelah berbagai percobaan klopnya dia dia udh mana murah sering promo gampang dicari dan produk lokal mukaku skrg bersih dan bekas jerawatku memudar,mineral botanica pinkk omgg the real hidden gem awalnya cocok pakai cosrx tapi mihil akhirnya setelah berbagai percobaan klopnya dia dia sudah mana murah sering promo gampang dicari dan produk lokal mukaku sekarang bersih dan bekas jerawatku memudar,mineral botanica pinkk omgg real hidden gem cocok pakai cosrx mihil percobaan klopnya murah promo gampang dicari produk lokal mukaku bersih bekas jerawatku memudar,mineral botanica pinkk omgg real hidden gem cocok pakai cosrx mihil coba klop murah promo gampang cari produk lokal muka bersih bekas jerawat pudar
1.94362249376945e+18,2025-07-12,0,@cagvity mineral botanica pink garis kerass! udh mau 4 tahun pake dan trp cocok,1.9440626034051976e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1944062603405197669,1.926691232861819e+18,1.0,mineral botanica, mineral botanica pink garis kerass udh mau  tahun pake dan trp cocok,mineral botanica pink garis keras sudah mau tahun pakai dan trp cocok,mineral botanica pink garis keras pakai trp cocok,mineral botanica pink garis keras pakai trp cocok
1.94362249376945e+18,2025-07-12,0,@cagvity Mineral botanica yg murceeee,1.9440449419841167e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1944044941984117219,2255966395.0,1.0,mineral botanica, Mineral botanica yg murceeee,mineral botanica yang murceeee,mineral botanica murceeee,mineral botanica murceeee
