conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,label
1.94365e+23,Sat Jul 12 03:15:42 +0000 2025,0,@elonzing duh ngode lagi dikirim avoskin,1.94387e+23,,elonzing,in,,0,0,0,https://x.com/undefined/status/1943871863417188738,85326259.0,,0.0
1.94386e+23,Sat Jul 12 02:21:52 +0000 2025,0,beberapa hari lalu i'm trying lacid acid serum from avoskin. pas di pakai emg cekat cekit bodohnya i used it every night for those two days,1.94386e+23,,bblvdocean,in,,0,1,0,https://x.com/undefined/status/1943858318075998430,7.92291e+22,,-1.0
1.94385e+23,Sat Jul 12 01:59:37 +0000 2025,0,Guys serum avoskin vit c bisa ngehilangin bekas jerawat ga si? Ih sebel kemarin abis bo jadi ninggalin bekas lumayan banyakkkk,1.94385e+23,,,in,,0,1,0,https://x.com/undefined/status/1943852715437961581,1.17887e+23,,0.0
1.94382e+23,Sat Jul 12 00:08:40 +0000 2025,0,ini alpha arbutinnya avoskin discontinue kah? di ofc storenya bahkan udah gak muncul aduh ganti pake apa,1.94382e+23,,,in,,0,1,0,https://x.com/undefined/status/1943824795612983361,2354073871.0,,-1.0
1.94382e+23,Sat Jul 12 00:05:19 +0000 2025,1,tawarin skincare yg underprice dong sama avoskin mrt kalo ada,1.94382e+23,,,in,,0,21,0,https://x.com/undefined/status/1943823952851141006,9.06426e+22,,0.0
1.94362e+23,Fri Jul 11 23:41:41 +0000 2025,0,@cagvity Dengan lantang ku jawab avoskin walaupun sambil aduh2,1.94382e+23,,cagvity,in,,0,0,0,https://x.com/undefined/status/1943818007295537369,8.87619e+22,,1.0
1.94362e+23,Fri Jul 11 21:03:06 +0000 2025,0,@basyoot @cagvity FW: npure noni Toner: hadalabo kuning pas lagi exfo / npure cica kalo lagi ada jerawat / hadalabo biru tua kalo ga lagi exfo dan gada jerawat Serum: aboveboard Exfo: avoskin lactic Peeling: garnier karena aku mager bilas membilas Moistur,1.94378e+23,,basyoot,in,,0,1,0,https://x.com/undefined/status/1943778098379731282,7.43571e+22,,0.0
1.94362e+23,Fri Jul 11 17:57:36 +0000 2025,0,@cagvity avoskin yg oren kecoklatan atau hijau tua super enak dikulit,1.94373e+23,,cagvity,in,,0,0,0,https://x.com/undefined/status/1943731412995117104,1.19094e+23,,1.0
1.9437e+22,Fri Jul 11 17:43:06 +0000 2025,0,@OMyGulf menurutku lebih ke avoskin sih. kalo kamu cari yang emang lembap ya skin1004. yang bener bener fungsional avoskinnn kalo pendapatku,1.94373e+23,,OMyGulf,in,,0,0,0,https://x.com/undefined/status/1943727765334700093,1.54136e+23,,1.0
1.94372e+23,Fri Jul 11 17:19:26 +0000 2025,0,@enzniki cobain avoskin udahh?,1.94372e+23,,enzniki,in,,0,1,0,https://x.com/undefined/status/1943721807133257854,1.4685e+22,,0.0
1.94369e+23,Fri Jul 11 16:01:10 +0000 2025,0,@Feorlessss cleansing oil pyunkang yul fw hadalabo gokujyun moist teratu sama ss amaterasun/teratu sama kadang pake serum kalo lagi mood (avoskin yg vit c),1.9437e+22,,Feorlessss,in,,0,0,0,https://x.com/undefined/status/1943702112522620989,1.35255e+23,,0.0
1.94337e+23,Fri Jul 11 15:55:59 +0000 2025,0,@feiinini Bagus bangettt! Penyelamat aku refining avoskin tuh. Dulu jerawatan parah sampe akhirnya rutin pake refining jadi mendingan banget. Jerawat berkurang jarang bruntusan warna kulit rata &amp; cerahan jarang jerawatan (kec jerawat hormonal).,1.9437e+22,,feiinini,in,,0,0,0,https://x.com/undefined/status/1943700809512054875,2191397828.0,,1.0
1.94368e+23,Fri Jul 11 15:03:34 +0000 2025,0,@nctriiku azeclair avoskin kak aku pke 2 minggu ngereda,1.94369e+23,,nctriiku,in,,0,0,0,https://x.com/undefined/status/1943687615749955722,1.79435e+23,,1.0
1.94369e+23,Fri Jul 11 14:56:14 +0000 2025,0,gais saranin produk exfo yg ada sensasi cekat cekit dong jgn avoskin ya gak cocok di akuu,1.94369e+23,,,in,,0,5,0,https://x.com/undefined/status/1943685772177199379,1.77155e+23,,-1.0
1.94369e+23,Fri Jul 11 14:56:06 +0000 2025,1,Guys pelis rekomendasiin aku serum vit c yg cocok buat kulit sensitif + berminyak udah coba pake avoskin ternyata ga cocok ️,1.94369e+23,,,in,,0,2,0,https://x.com/undefined/status/1943685736630214700,1.41235e+23,,-1.0
1.94362e+23,Fri Jul 11 13:01:01 +0000 2025,0,@cagvity dlu pake npure bagus juga cman mahal. avoskin juga pake camille juga pake originote (ga ada perubahan apapun di muka tp ga bikin ketergantungan) trs prnh pake sabun pepaya itu (BAGUS BANGET WOI),1.94366e+23,,itsmizuxx,in,,0,0,0,https://x.com/undefined/status/1943656774483194175,365864163.0,,0.0
1.94364e+23,Fri Jul 11 11:57:56 +0000 2025,0,@wsylee_ avoskin exponya berapaan kakk,1.94364e+23,,wsylee_,in,,0,1,0,https://x.com/undefined/status/1943640898794885526,1.61064e+23,,0.0
1.94314e+23,Thu Jul 10 02:45:43 +0000 2025,0,yakinkan aku untuk membeli toner exfo avoskin,1.94314e+23,,,in,,0,3,0,https://x.com/undefined/status/1943139541055050095,1.56912e+23,,0.0
1.94184e+23,Wed Jul 09 17:16:26 +0000 2025,0,@SilviMP01 mrt avoskin exp brp ka,1.943e+21,,SilviMP01,in,,0,1,0,https://x.com/undefined/status/1942996280122519822,1.83662e+23,,0.0
1.94299e+23,Wed Jul 09 16:53:19 +0000 2025,0,@ferdi_fatah That ((demek)) hahahahahaha Gue combine sih wardah corsx skintific avoskin,1.94299e+23,,ferdi_fatah,in,,0,1,0,https://x.com/undefined/status/1942990462182396282,241089855.0,,0.0
1.94227e+23,Wed Jul 09 16:20:06 +0000 2025,0,@wsylee_ avoskin serum ijo sm ampoule skin1004 centella brp kaa,1.94298e+23,,wsylee_,in,,0,1,0,https://x.com/undefined/status/1942982100266958882,1.33665e+23,,0.0
